"","x"
"1","WorldClim_2.1_10m_bio01_v2.0.0.vrt"
"2","WorldClim_2.1_10m_bio02_v2.0.0.vrt"
"3","WorldClim_2.1_10m_bio03_v2.0.0.vrt"
"4","WorldClim_2.1_10m_bio04_v2.0.0.vrt"
"5","WorldClim_2.1_10m_bio05_v2.0.0.vrt"
"6","WorldClim_2.1_10m_bio06_v2.0.0.vrt"
"7","WorldClim_2.1_10m_bio07_v2.0.0.vrt"
"8","WorldClim_2.1_10m_bio08_v2.0.0.vrt"
"9","WorldClim_2.1_10m_bio09_v2.0.0.vrt"
"10","WorldClim_2.1_10m_bio10_v2.0.0.vrt"
"11","WorldClim_2.1_10m_bio11_v2.0.0.vrt"
"12","WorldClim_2.1_10m_bio12_v2.0.0.vrt"
"13","WorldClim_2.1_10m_bio13_v2.0.0.vrt"
"14","WorldClim_2.1_10m_bio14_v2.0.0.vrt"
"15","WorldClim_2.1_10m_bio15_v2.0.0.vrt"
"16","WorldClim_2.1_10m_bio16_v2.0.0.vrt"
"17","WorldClim_2.1_10m_bio17_v2.0.0.vrt"
"18","WorldClim_2.1_10m_bio18_v2.0.0.vrt"
"19","WorldClim_2.1_10m_bio19_v2.0.0.vrt"
"20","WorldClim_2.1_10m_altitude_v2.0.0.vrt"
"21","WorldClim_2.1_10m_temperature_01_v2.0.0.vrt"
"22","WorldClim_2.1_10m_temperature_02_v2.0.0.vrt"
"23","WorldClim_2.1_10m_temperature_03_v2.0.0.vrt"
"24","WorldClim_2.1_10m_temperature_04_v2.0.0.vrt"
"25","WorldClim_2.1_10m_temperature_05_v2.0.0.vrt"
"26","WorldClim_2.1_10m_temperature_06_v2.0.0.vrt"
"27","WorldClim_2.1_10m_temperature_07_v2.0.0.vrt"
"28","WorldClim_2.1_10m_temperature_08_v2.0.0.vrt"
"29","WorldClim_2.1_10m_temperature_09_v2.0.0.vrt"
"30","WorldClim_2.1_10m_temperature_10_v2.0.0.vrt"
"31","WorldClim_2.1_10m_temperature_11_v2.0.0.vrt"
"32","WorldClim_2.1_10m_temperature_12_v2.0.0.vrt"
"33","WorldClim_2.1_10m_precipitation_01_v2.0.0.vrt"
"34","WorldClim_2.1_10m_precipitation_02_v2.0.0.vrt"
"35","WorldClim_2.1_10m_precipitation_03_v2.0.0.vrt"
"36","WorldClim_2.1_10m_precipitation_04_v2.0.0.vrt"
"37","WorldClim_2.1_10m_precipitation_05_v2.0.0.vrt"
"38","WorldClim_2.1_10m_precipitation_06_v2.0.0.vrt"
"39","WorldClim_2.1_10m_precipitation_07_v2.0.0.vrt"
"40","WorldClim_2.1_10m_precipitation_08_v2.0.0.vrt"
"41","WorldClim_2.1_10m_precipitation_09_v2.0.0.vrt"
"42","WorldClim_2.1_10m_precipitation_10_v2.0.0.vrt"
"43","WorldClim_2.1_10m_precipitation_11_v2.0.0.vrt"
"44","WorldClim_2.1_10m_precipitation_12_v2.0.0.vrt"
"45","WorldClim_2.1_10m_temperature_min_01_v2.0.0.vrt"
"46","WorldClim_2.1_10m_temperature_min_02_v2.0.0.vrt"
"47","WorldClim_2.1_10m_temperature_min_03_v2.0.0.vrt"
"48","WorldClim_2.1_10m_temperature_min_04_v2.0.0.vrt"
"49","WorldClim_2.1_10m_temperature_min_05_v2.0.0.vrt"
"50","WorldClim_2.1_10m_temperature_min_06_v2.0.0.vrt"
"51","WorldClim_2.1_10m_temperature_min_07_v2.0.0.vrt"
"52","WorldClim_2.1_10m_temperature_min_08_v2.0.0.vrt"
"53","WorldClim_2.1_10m_temperature_min_09_v2.0.0.vrt"
"54","WorldClim_2.1_10m_temperature_min_10_v2.0.0.vrt"
"55","WorldClim_2.1_10m_temperature_min_11_v2.0.0.vrt"
"56","WorldClim_2.1_10m_temperature_min_12_v2.0.0.vrt"
"57","WorldClim_2.1_10m_temperature_max_01_v2.0.0.vrt"
"58","WorldClim_2.1_10m_temperature_max_02_v2.0.0.vrt"
"59","WorldClim_2.1_10m_temperature_max_03_v2.0.0.vrt"
"60","WorldClim_2.1_10m_temperature_max_04_v2.0.0.vrt"
"61","WorldClim_2.1_10m_temperature_max_05_v2.0.0.vrt"
"62","WorldClim_2.1_10m_temperature_max_06_v2.0.0.vrt"
"63","WorldClim_2.1_10m_temperature_max_07_v2.0.0.vrt"
"64","WorldClim_2.1_10m_temperature_max_08_v2.0.0.vrt"
"65","WorldClim_2.1_10m_temperature_max_09_v2.0.0.vrt"
"66","WorldClim_2.1_10m_temperature_max_10_v2.0.0.vrt"
"67","WorldClim_2.1_10m_temperature_max_11_v2.0.0.vrt"
"68","WorldClim_2.1_10m_temperature_max_12_v2.0.0.vrt"
